Index,Dataset,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster,Pearson Med,Number of labels,Kurtosis,Misclassification rate,Number of classes,ASR_TextFooler,ASR_PWWS,ASR_BERT,ASR_DeepWordBug
371,tweet_eval_emoji_2,40.88421053,5645,5,652,0.49685681,2.979118675,3107.220778,1.820687553,7,0,2,1,1,2,0.52,0.61,,0.25
291,banking77__14,34.17635659,3158,6,642,0.770247153,1.574743065,123.3144954,2.258304278,2,0.936979876,14,6.176416622,0.95,14,0.88,0.88,,0.77
252,banking77__4,34.69824219,3147,6,642,0.633320246,1.78590933,607.2091723,2.242059459,2,0.415036884,4,2.012209864,0.78,4,0.69,,,Nan
435,banking77__10,35.64340344,3252,6,657,0.742877448,1.622632449,186.7830242,1.9576131,3,1.417526086,10,3.301247153,0.91,10,0.92,0.93,,0.83
21,dbpedia,77.44965787,10791,9,645,1.225023899,1.481271298,114.9694415,1.802659771,16,1.078748838,14,4.661794325,0.92,14,0.09,,,Nan
129,yelp_review_polarity,186.2417795,9484,7,1183,0.888845142,1.508082155,1556.340784,1.623138455,2,0,2,1,0.77,2,0.32,0.53,,Nan
120,yelp_review_polarity,189.5949855,9666,7,1297,0.878813563,1.532650046,1586.292797,1.762551837,2,0,2,1,0.62,2,0.21,0.35,,0.15
353,tweet_eval_emoji_10,37.41996047,5516,6,640,0.504186946,2.718481331,302.6575882,2.474802842,2,0.495107334,10,3.278240768,0.96,10,0.52,0.69,,0.76
374,tweet_eval_emoji_5,43.37275307,5849,5,659,0.471700603,2.819610791,741.5576381,2.037406841,7,1.590186272,5,1.335331218,0.86,5,0.52,0.72,,0.72
345,banking77__4,32.64082434,3006,7,649,0.624172948,1.781222419,602.6469184,2.224831493,2,0.464732273,4,1.315350688,0.96,4,0.88,0.91,,0.68
247,yelp_review_full,181.4282946,9445,6,1225,0.633962093,1.490235353,382.6179268,1.852104339,2,1.461297146,5,1.444497199,0.81,5,0.48,0.96,,0.61
436,tweet_eval_emoji_14,40.6226784,5424,5,662,0.588312451,2.562769319,198.9103264,2.427896663,2,0.982391966,14,4.837374719,0.88,14,0.66,0.79,,0.77
358,tweet_eval_emoji_2,40.64437984,5563,5,644,0.500215703,2.963426219,3052.329005,1.970576211,6,0,2,1,1,2,0.52,0.69,,0.35
1,amazon_review_polarity,104.6931373,9520,17,643,0.687385376,2.142725011,2181.294062,2.484569578,3,0,2,1,0.85,2,0.55,0.71,,0.26
165,ag_news,58.91013384,8456,14,648,0.777366317,2.209197437,767.3279099,2.724051183,2,0.187837825,4,1.342867746,0.75,4,0.71,0.7,,0.18
233,amazon_review_full,104.9561069,9643,18,639,0.525215905,2.080904367,542.5958137,3.010991815,2,2.070025677,5,1.301549499,0.86,5,0.47,0.97,,0.71
