Index,Dataset,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster,Pearson Med,Number of labels,Kurtosis,Misclassification rate,Number of classes,ASR_TextFooler,ASR_PWWS,ASR_BERT,ASR_DeepWordBug
381,banking77__5,16.46888889,1156,5,80,4.379083921,12.81466761,2867.281877,0,0,-0.885936635,5,2.64895439,0.85,5,0.87,0.88,Nan,0.7
382,dbpedia,64.58333333,9595,11,230,7.829695946,7.780408994,530.2647976,0,0,0.13494224,14,2.849492226,0.93,14,0.35,0.33,Nan,0.06
383,banking77__5,16.22555556,1097,6,89,4.38700061,12.75877215,2854.775268,0,0,1.58113883,5,2.488425926,0.82,5,0.87,0.86,0.87,0.73
384,banking77__2,16.41111111,1099,6,73,2.531415835,19.49789098,17509.1061,0,0,0,2,1,0.56,2,0.76,0.77,Nan,0.48
385,tweet_eval_emoji_14,22.65444444,4102,6,52,9.388154203,8.358167708,569.6412761,0,0,0.961754036,14,7.480309553,0.88,14,0.55,0.62,Nan,0.73
386,yelp_review_full,190.1955556,9109,5,1229,4.4179211,12.52453338,2802.364343,0,0,-1.277914127,5,1.55469563,0.76,5,0.74,0.95,Nan,Nan
387,banking77__4,16.44888889,1093,5,67,3.739155757,14.58417806,4355.807846,0,0,0.90913729,4,2,0.75,4,0.8,0.91,Nan,0.76
388,tweet_eval_emoji_4,22.97555556,4254,5,61,3.878540775,14.88574778,4445.876672,0,0,0.888604235,4,2.108117314,1,4,0.62,0.76,Nan,0.65
389,banking77__5,16.57666667,1099,5,69,4.363759547,12.91679737,2890.133412,0,0,-0.834460875,5,1.495244847,0.87,5,0.88,0.89,0.94,0.79
390,tweet_eval_emoji_5,23.03555556,4316,5,54,4.377008369,13.41373949,3001.324212,3.401571005,2,0.534297527,5,2.837295351,0.82,5,0.58,0.7,0.72,0.72
391,banking77__2,16.25,1101,6,70,2.645121714,18.74434999,16832.42629,0,0,0,2,1,0.8,2,0.73,0.81,,
392,banking77__10,16.86444444,1145,6,89,6.391408907,9.280226428,917.7112801,0,0,0.851102709,10,4.255785924,0.94,10,0.9,0.91,0.96,0.88
393,dbpedia,66.62333333,9510,11,163,7.861865856,7.744351989,527.807374,0,0,0.952500953,14,2.517206243,0.9,14,0.32,0.35,Nan,0.1
394,yelp_review_full,188.8366667,9108,4,1406,4.350645627,12.83775536,2872.447762,0,0,0,5,1.964843169,0.85,5,0.66,0.94,Nan,Nan
